ds,y,unique_id,day_of_week,month,hour,is_weekend,is_holiday,month_sin,month_cos,day_of_week_sin,day_of_week_cos,hour_sin,hour_cos,gas_price,cross_border_trading,non_renewable,renewable,load,co2_emission_allowances,synthetic_price
2018-10-01 10:00:00,73.7,electricity_prices,0,10,10,0,0,-0.8660254037844386,0.5000000000000001,0.0,1.0,0.4999999999999999,-0.8660254037844387,26.076,-6091.25,36180.39,25893.79,67635.45,20.3,55.53090909090909
2018-10-01 11:00:00,71.63,electricity_prices,0,10,11,0,0,-0.8660254037844386,0.5000000000000001,0.0,1.0,0.258819045102521,-0.9659258262890682,26.076,-5466.12,34745.26,29979.66,69097.22,20.3,55.53090909090909
2018-10-01 12:00:00,63.15,electricity_prices,0,10,12,0,0,-0.8660254037844386,0.5000000000000001,0.0,1.0,1.2246467991473532e-16,-1.0,26.076,-6662.62,31601.07,32754.83,68800.15,20.3,55.53090909090909
2018-10-01 13:00:00,60.24,electricity_prices,0,10,13,0,0,-0.8660254037844386,0.5000000000000001,0.0,1.0,-0.2588190451025208,-0.9659258262890684,26.076,-7932.45,30685.33,34379.28,68157.81,20.3,55.53090909090909
2018-10-01 14:00:00,56.18,electricity_prices,0,10,14,0,0,-0.8660254037844386,0.5000000000000001,0.0,1.0,-0.4999999999999997,-0.8660254037844388,26.076,-8194.93,30402.18,36058.72,67571.71,20.3,55.53090909090909
2018-10-01 15:00:00,53.0,electricity_prices,0,10,15,0,0,-0.8660254037844386,0.5000000000000001,0.0,1.0,-0.7071067811865471,-0.7071067811865479,26.076,-8183.04,29752.2,35324.53,66439.2,20.3,55.53090909090909
2018-10-01 16:00:00,53.37,electricity_prices,0,10,16,0,0,-0.8660254037844386,0.5000000000000001,0.0,1.0,-0.8660254037844384,-0.5000000000000004,26.076,-7831.62,29840.93,33349.09,64889.95,20.3,55.53090909090909
2018-10-01 17:00:00,60.42,electricity_prices,0,10,17,0,0,-0.8660254037844386,0.5000000000000001,0.0,1.0,-0.9659258262890684,-0.2588190451025206,26.076,-7217.09,31815.66,29612.0,64806.75,20.3,55.53090909090909
2018-10-01 18:00:00,69.93,electricity_prices,0,10,18,0,0,-0.8660254037844386,0.5000000000000001,0.0,1.0,-1.0,-1.8369701987210287e-16,26.076,-5648.09,33434.63,25806.3,65598.92,20.3,55.53090909090909
2018-10-01 19:00:00,75.0,electricity_prices,0,10,19,0,0,-0.8660254037844386,0.5000000000000001,0.0,1.0,-0.9659258262890684,0.2588190451025203,26.076,-5823.4,33845.7,25170.99,66938.2,20.3,55.53090909090909
2018-10-01 20:00:00,65.83,electricity_prices,0,10,20,0,0,-0.8660254037844386,0.5000000000000001,0.0,1.0,-0.8660254037844386,0.5000000000000001,26.076,-6841.25,33494.04,25660.07,64230.26,20.3,55.53090909090909
2018-10-01 21:00:00,53.86,electricity_prices,0,10,21,0,0,-0.8660254037844386,0.5000000000000001,0.0,1.0,-0.7071067811865477,0.7071067811865474,26.076,-7280.09,31942.83,25603.31,60292.71,20.3,55.53090909090909
2018-10-01 22:00:00,46.46,electricity_prices,0,10,22,0,0,-0.8660254037844386,0.5000000000000001,0.0,1.0,-0.5000000000000004,0.8660254037844384,26.076,-7155.6,29858.75,24898.53,56754.47,20.3,55.53090909090909
2018-10-01 23:00:00,42.5,electricity_prices,0,10,23,0,0,-0.8660254037844386,0.5000000000000001,0.0,1.0,-0.2588190451025215,0.965925826289068,26.076,-6769.43,27197.76,24490.57,52290.1,20.3,55.53090909090909
2018-10-02 00:00:00,45.1,electricity_prices,1,10,0,0,0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.0,1.0,26.076,-8200.77,26425.76,23748.44,48822.84,20.3,55.53090909090909
2018-10-02 01:00:00,44.1,electricity_prices,1,10,1,0,0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.2588190451025207,0.9659258262890684,26.076,-8369.78,25640.63,23077.39,47171.14,20.3,55.53090909090909
2018-10-02 02:00:00,44.06,electricity_prices,1,10,2,0,0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.4999999999999999,0.8660254037844387,26.076,-7381.17,25925.89,22786.96,45814.4,20.3,55.53090909090909
2018-10-02 03:00:00,43.77,electricity_prices,1,10,3,0,0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.7071067811865475,0.7071067811865476,26.076,-5939.15,25677.92,23646.1,46877.42,20.3,55.53090909090909
2018-10-02 04:00:00,44.29,electricity_prices,1,10,4,0,0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,26.076,-6842.2,25824.44,24901.57,48438.57,20.3,55.53090909090909
2018-10-02 05:00:00,48.13,electricity_prices,1,10,5,0,0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.9659258262890684,0.2588190451025207,26.076,-7036.0,27307.21,26328.05,52977.6,20.3,55.53090909090909
2018-10-02 06:00:00,57.7,electricity_prices,1,10,6,0,0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,26.076,-6527.01,29077.08,27958.34,61011.59,20.3,55.53090909090909
2018-10-02 07:00:00,68.21,electricity_prices,1,10,7,0,0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.9659258262890684,-0.2588190451025206,26.076,-5904.08,30232.09,29699.05,66058.26,20.3,55.53090909090909
2018-10-02 08:00:00,70.36,electricity_prices,1,10,8,0,0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,26.076,-7037.15,29368.02,32566.99,68214.73,20.3,55.53090909090909
2018-10-02 09:00:00,54.53,electricity_prices,1,10,9,0,0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.7071067811865476,-0.7071067811865475,26.076,-7057.59,27954.15,36414.49,69272.58,20.3,55.53090909090909
2018-10-02 10:00:00,48.49,electricity_prices,1,10,10,0,0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.4999999999999999,-0.8660254037844387,26.076,-9048.61,27188.39,41366.92,70800.98,20.3,55.53090909090909
2018-10-02 11:00:00,46.19,electricity_prices,1,10,11,0,0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.258819045102521,-0.9659258262890682,26.076,-9057.31,25848.63,46121.97,72202.97,20.3,55.53090909090909
2018-10-02 12:00:00,44.15,electricity_prices,1,10,12,0,0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0,26.076,-9288.9,22786.08,48666.07,71722.88,20.3,55.53090909090909
2018-10-02 13:00:00,30.79,electricity_prices,1,10,13,0,0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,-0.2588190451025208,-0.9659258262890684,26.076,-9263.62,22069.44,48881.52,71139.13,20.3,55.53090909090909
2018-10-02 14:00:00,27.75,electricity_prices,1,10,14,0,0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,26.076,-9671.65,21749.2,48776.93,70100.47,20.3,55.53090909090909
2018-10-02 15:00:00,30.74,electricity_prices,1,10,15,0,0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,-0.7071067811865471,-0.7071067811865479,26.076,-9266.55,21627.35,47053.51,68906.29,20.3,55.53090909090909
2018-10-02 16:00:00,26.77,electricity_prices,1,10,16,0,0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,-0.8660254037844384,-0.5000000000000004,26.076,-8844.64,21616.96,45877.06,67067.46,20.3,55.53090909090909
2018-10-02 17:00:00,38.68,electricity_prices,1,10,17,0,0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,-0.9659258262890684,-0.2588190451025206,26.076,-8994.97,22147.53,44005.18,66440.82,20.3,55.53090909090909
2018-10-02 18:00:00,48.52,electricity_prices,1,10,18,0,0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210287e-16,26.076,-8844.41,21735.17,42536.74,66777.89,20.3,55.53090909090909
2018-10-02 19:00:00,49.03,electricity_prices,1,10,19,0,0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,-0.9659258262890684,0.2588190451025203,26.076,-8577.77,21879.62,41853.22,68290.52,20.3,55.53090909090909
2018-10-02 20:00:00,45.43,electricity_prices,1,10,20,0,0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,-0.8660254037844386,0.5000000000000001,26.076,-9152.26,21001.76,41658.1,65213.04,20.3,55.53090909090909
2018-10-02 21:00:00,32.04,electricity_prices,1,10,21,0,0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,-0.7071067811865477,0.7071067811865474,26.076,-9254.65,19505.92,41635.04,60956.52,20.3,55.53090909090909
2018-10-02 22:00:00,26.22,electricity_prices,1,10,22,0,0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384,26.076,-9077.31,17627.99,40800.36,56623.8,20.3,55.53090909090909
2018-10-02 23:00:00,1.08,electricity_prices,1,10,23,0,0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,-0.2588190451025215,0.965925826289068,26.076,-9051.73,15152.71,40860.5,52610.83,20.3,55.53090909090909
2018-10-03 00:00:00,2.13,electricity_prices,2,10,0,0,1,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,0.0,1.0,26.076,-9145.11,13272.04,40982.66,49538.97,20.3,55.53090909090909
2018-10-03 01:00:00,0.1,electricity_prices,2,10,1,0,1,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,0.2588190451025207,0.9659258262890684,26.076,-9293.41,13059.33,40753.78,47670.37,20.3,55.53090909090909
2018-10-03 02:00:00,0.05,electricity_prices,2,10,2,0,1,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,0.4999999999999999,0.8660254037844387,26.076,-9696.01,12867.13,41127.17,46603.31,20.3,55.53090909090909
2018-10-03 03:00:00,0.07,electricity_prices,2,10,3,0,1,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,0.7071067811865475,0.7071067811865476,26.076,-10331.15,12855.64,40628.93,46373.64,20.3,55.53090909090909
2018-10-03 04:00:00,-0.08,electricity_prices,2,10,4,0,1,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,0.8660254037844386,0.5000000000000001,26.076,-9885.3,12915.24,40282.58,46220.2,20.3,55.53090909090909
2018-10-03 05:00:00,-0.09,electricity_prices,2,10,5,0,1,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,0.9659258262890684,0.2588190451025207,26.076,-11077.88,12898.49,39836.72,46149.41,20.3,55.53090909090909
2018-10-03 06:00:00,-4.97,electricity_prices,2,10,6,0,1,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,1.0,6.123233995736766e-17,26.076,-10836.47,12940.5,40018.41,45884.85,20.3,55.53090909090909
2018-10-03 07:00:00,-0.06,electricity_prices,2,10,7,0,1,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,0.9659258262890684,-0.2588190451025206,26.076,-10741.89,13157.56,39295.53,47691.83,20.3,55.53090909090909
2018-10-03 08:00:00,0.7000000000000001,electricity_prices,2,10,8,0,1,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,0.8660254037844387,-0.4999999999999998,26.076,-10377.17,13517.17,39274.88,50810.06,20.3,55.53090909090909
2018-10-03 09:00:00,0.91,electricity_prices,2,10,9,0,1,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,0.7071067811865476,-0.7071067811865475,26.076,-10504.56,14544.28,41007.59,53715.29,20.3,55.53090909090909
2018-10-03 10:00:00,-0.03,electricity_prices,2,10,10,0,1,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,0.4999999999999999,-0.8660254037844387,26.076,-10895.5,14363.42,43775.37,55151.84,20.3,55.53090909090909
2018-10-03 11:00:00,0.03,electricity_prices,2,10,11,0,1,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,0.258819045102521,-0.9659258262890682,26.076,-10635.6,14715.9,46664.61,57230.32,20.3,55.53090909090909
2018-10-03 12:00:00,-0.04,electricity_prices,2,10,12,0,1,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,1.2246467991473532e-16,-1.0,26.076,-10747.53,14174.84,48128.44,56923.01,20.3,55.53090909090909
2018-10-03 13:00:00,0.0,electricity_prices,2,10,13,0,1,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,-0.2588190451025208,-0.9659258262890684,26.076,-10647.82,13958.15,48152.27,54606.72,20.3,55.53090909090909
2018-10-03 14:00:00,0.03,electricity_prices,2,10,14,0,1,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,-0.4999999999999997,-0.8660254037844388,26.076,-10319.17,14124.56,47107.86,53059.2,20.3,55.53090909090909
2018-10-03 15:00:00,5.75,electricity_prices,2,10,15,0,1,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,-0.7071067811865471,-0.7071067811865479,26.076,-9827.53,14269.18,44362.33,52044.43,20.3,55.53090909090909
2018-10-03 16:00:00,20.28,electricity_prices,2,10,16,0,1,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,-0.8660254037844384,-0.5000000000000004,26.076,-10166.82,16368.14,38553.64,51516.88,20.3,55.53090909090909
2018-10-03 17:00:00,43.2,electricity_prices,2,10,17,0,1,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,-0.9659258262890684,-0.2588190451025206,26.076,-9584.82,20851.74,32105.87,52326.99,20.3,55.53090909090909
2018-10-03 18:00:00,63.23,electricity_prices,2,10,18,0,1,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,-1.0,-1.8369701987210287e-16,26.076,-6216.61,24457.24,25811.77,54469.28,20.3,55.53090909090909
2018-10-03 19:00:00,71.44,electricity_prices,2,10,19,0,1,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,-0.9659258262890684,0.2588190451025203,26.076,-6034.39,26219.66,23262.24,57084.76,20.3,55.53090909090909
2018-10-03 20:00:00,67.95,electricity_prices,2,10,20,0,1,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,-0.8660254037844386,0.5000000000000001,26.076,-6025.29,26520.32,22201.69,55467.72,20.3,55.53090909090909
2018-10-03 21:00:00,56.88,electricity_prices,2,10,21,0,1,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,-0.7071067811865477,0.7071067811865474,26.076,-6392.79,26034.97,21939.86,53113.61,20.3,55.53090909090909
2018-10-03 22:00:00,62.85,electricity_prices,2,10,22,0,1,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,-0.5000000000000004,0.8660254037844384,26.076,-6253.49,25693.19,21519.84,51639.76,20.3,55.53090909090909
2018-10-03 23:00:00,48.72,electricity_prices,2,10,23,0,1,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,-0.2588190451025215,0.965925826289068,26.076,-7298.3,24950.67,20391.02,48002.62,20.3,55.53090909090909
2018-10-04 00:00:00,53.24,electricity_prices,3,10,0,0,0,-0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,0.0,1.0,26.076,-8024.12,25275.95,19148.44,45333.96,20.3,55.53090909090909
2018-10-04 01:00:00,46.1,electricity_prices,3,10,1,0,0,-0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,0.2588190451025207,0.9659258262890684,26.076,-7335.5,24931.87,18593.42,43901.19,20.3,55.53090909090909
2018-10-04 02:00:00,45.6,electricity_prices,3,10,2,0,0,-0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,0.4999999999999999,0.8660254037844387,26.076,-7251.63,25354.34,18042.04,42994.0,20.3,55.53090909090909
2018-10-04 03:00:00,46.88,electricity_prices,3,10,3,0,0,-0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,0.7071067811865475,0.7071067811865476,26.076,-8197.65,26788.85,17621.92,43737.75,20.3,55.53090909090909
2018-10-04 04:00:00,47.53,electricity_prices,3,10,4,0,0,-0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,0.8660254037844386,0.5000000000000001,26.076,-8176.72,28371.65,17768.23,45342.82,20.3,55.53090909090909
2018-10-04 05:00:00,50.88,electricity_prices,3,10,5,0,0,-0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,0.9659258262890684,0.2588190451025207,26.076,-7561.49,30873.8,17146.41,49611.33,20.3,55.53090909090909
2018-10-04 06:00:00,74.69,electricity_prices,3,10,6,0,0,-0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,1.0,6.123233995736766e-17,26.076,-5301.94,34678.42,17316.0,58409.92,20.3,55.53090909090909
2018-10-04 07:00:00,80.15,electricity_prices,3,10,7,0,0,-0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,0.9659258262890684,-0.2588190451025206,26.076,-4813.83,35944.18,17271.89,63527.21,20.3,55.53090909090909
2018-10-04 08:00:00,81.0,electricity_prices,3,10,8,0,0,-0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,0.8660254037844387,-0.4999999999999998,26.076,-5414.68,36682.66,18614.39,65440.38,20.3,55.53090909090909
2018-10-04 09:00:00,82.09,electricity_prices,3,10,9,0,0,-0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,0.7071067811865476,-0.7071067811865475,26.076,-6870.14,37108.87,21265.41,66201.48,20.3,55.53090909090909
2018-10-04 10:00:00,78.96,electricity_prices,3,10,10,0,0,-0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,0.4999999999999999,-0.8660254037844387,26.076,-7286.24,37465.47,25033.71,67054.54,20.3,55.53090909090909
2018-10-04 11:00:00,75.34,electricity_prices,3,10,11,0,0,-0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,0.258819045102521,-0.9659258262890682,26.076,-10804.0,37417.41,28067.28,67786.76,20.3,55.53090909090909
2018-10-04 12:00:00,63.05,electricity_prices,3,10,12,0,0,-0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,1.2246467991473532e-16,-1.0,26.076,-12505.56,36438.56,30504.61,67110.98,20.3,55.53090909090909
2018-10-04 13:00:00,54.49,electricity_prices,3,10,13,0,0,-0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,-0.2588190451025208,-0.9659258262890684,26.076,-11858.8,35710.78,31734.19,66455.9,20.3,55.53090909090909
2018-10-04 14:00:00,54.4,electricity_prices,3,10,14,0,0,-0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,26.076,-11665.13,35658.02,31222.23,65025.16,20.3,55.53090909090909
2018-10-04 15:00:00,57.61,electricity_prices,3,10,15,0,0,-0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,-0.7071067811865471,-0.7071067811865479,26.076,-11122.72,36127.92,28359.78,63887.68,20.3,55.53090909090909
2018-10-04 16:00:00,66.96,electricity_prices,3,10,16,0,0,-0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,-0.8660254037844384,-0.5000000000000004,26.076,-8103.88,36736.71,24042.21,62860.22,20.3,55.53090909090909
2018-10-04 17:00:00,77.23,electricity_prices,3,10,17,0,0,-0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,-0.9659258262890684,-0.2588190451025206,26.076,-5215.44,37260.59,19076.29,62911.92,20.3,55.53090909090909
2018-10-04 18:00:00,80.25,electricity_prices,3,10,18,0,0,-0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,-1.0,-1.8369701987210287e-16,26.076,-3462.89,37692.61,15462.23,63710.1,20.3,55.53090909090909
2018-10-04 19:00:00,88.08,electricity_prices,3,10,19,0,0,-0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,-0.9659258262890684,0.2588190451025203,26.076,-2574.22,37665.7,15514.45,66135.59,20.3,55.53090909090909
2018-10-04 20:00:00,80.67,electricity_prices,3,10,20,0,0,-0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,-0.8660254037844386,0.5000000000000001,26.076,-2403.91,37442.47,16331.25,63666.84,20.3,55.53090909090909
2018-10-04 21:00:00,72.22,electricity_prices,3,10,21,0,0,-0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,-0.7071067811865477,0.7071067811865474,26.076,-5136.1,36741.89,16786.72,59612.16,20.3,55.53090909090909
2018-10-04 22:00:00,53.98,electricity_prices,3,10,22,0,0,-0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,-0.5000000000000004,0.8660254037844384,26.076,-5616.67,34022.32,17584.59,55451.18,20.3,55.53090909090909
2018-10-04 23:00:00,52.25,electricity_prices,3,10,23,0,0,-0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,-0.2588190451025215,0.965925826289068,26.076,-6129.35,31678.2,18955.74,51731.76,20.3,55.53090909090909
2018-10-05 00:00:00,49.57,electricity_prices,4,10,0,0,0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.0,1.0,26.076,-6183.52,30056.92,19780.44,48688.7,20.3,55.53090909090909
2018-10-05 01:00:00,51.16,electricity_prices,4,10,1,0,0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.2588190451025207,0.9659258262890684,26.076,-6855.4,29602.93,20306.87,46771.39,20.3,55.53090909090909
2018-10-05 02:00:00,48.91,electricity_prices,4,10,2,0,0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.4999999999999999,0.8660254037844387,26.076,-6381.34,29030.75,20368.52,46401.32,20.3,55.53090909090909
2018-10-05 03:00:00,47.36,electricity_prices,4,10,3,0,0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.7071067811865475,0.7071067811865476,26.076,-5473.16,28844.81,20254.91,46736.31,20.3,55.53090909090909
2018-10-05 04:00:00,48.28,electricity_prices,4,10,4,0,0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,26.076,-5401.62,29358.78,19831.07,48148.96,20.3,55.53090909090909
2018-10-05 05:00:00,54.18,electricity_prices,4,10,5,0,0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.9659258262890684,0.2588190451025207,26.076,-6046.89,31454.76,19139.61,51574.93,20.3,55.53090909090909
2018-10-05 06:00:00,63.62,electricity_prices,4,10,6,0,0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,26.076,-3832.37,34264.59,18203.41,59172.92,20.3,55.53090909090909
2018-10-05 07:00:00,78.87,electricity_prices,4,10,7,0,0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.9659258262890684,-0.2588190451025206,26.076,-3275.63,35221.53,18401.72,64276.9,20.3,55.53090909090909
2018-10-05 08:00:00,79.74,electricity_prices,4,10,8,0,0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,26.076,-5696.57,35708.2,21567.44,66473.47,20.3,55.53090909090909
2018-10-05 09:00:00,74.5,electricity_prices,4,10,9,0,0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.7071067811865476,-0.7071067811865475,26.076,-8316.01,35413.86,26414.43,66746.9,20.3,55.53090909090909
2018-10-05 10:00:00,55.42,electricity_prices,4,10,10,0,0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.4999999999999999,-0.8660254037844387,26.076,-9453.72,34159.96,30223.53,67417.0,20.3,55.53090909090909
2018-10-05 11:00:00,50.21,electricity_prices,4,10,11,0,0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.258819045102521,-0.9659258262890682,26.076,-9911.68,32370.48,33569.78,67770.22,20.93,55.78290909090909
2018-10-05 12:00:00,46.64,electricity_prices,4,10,12,0,0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0,26.076,-10796.05,30804.63,36057.23,66694.08,21.14,55.86690909090909
2018-10-05 13:00:00,50.72,electricity_prices,4,10,13,0,0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,-0.2588190451025208,-0.9659258262890684,26.076,-10835.59,29903.05,36425.26,65428.65,21.14,55.86690909090909
